repetition,fold,mf_set,learner,dataset_id,dataset_name,top1_predicted,SRC,WRC,NDCG@3,Top1Hit,Regret@1,ARI,AMI
16,7,CaD-Sp,RF,1501,semeion,KM,0.8720815992723809,0.7677001739647403,0.9434336918247567,1.0,0.125,0.3894098108171657,0.5355899542980275
16,7,CaD-Sp,RF,40499,texture,AA,0.6,0.28102189781021897,0.9300809618991231,0.0,0.25,0.27938825258629163,0.5475564751575753
16,7,CaD-Ke,kNN,6,letter,AA,0.6,0.4270072992700729,0.9036904578863016,0.0,0.5,0.05646500122894982,0.2855365406843245
16,7,CaD-Ke,kNN,12,mfeat-factors,KM,0.7,0.3795620437956205,0.9300809618991231,0.0,0.25,0.6355361223644773,0.7075432316485585
16,7,CaD-Ke,kNN,307,vowel,AA,-0.7,-0.7554744525547444,0.5131952520064108,0.0,0.5,0.1715354277479953,0.3794283266725329
16,7,CaD-Ke,kNN,1487,ozone-level-8hr,AA,0.9746794344808964,0.9675388296400893,1.0,1.0,0.0,-0.002171346125017033,-0.0005566677044779878
16,7,CaD-Ke,kNN,1501,semeion,KM,0.6155870112510925,0.5314847358217433,0.906402627875598,1.0,0.125,0.3894098108171657,0.5355899542980275
16,7,CaD-Ke,kNN,40499,texture,AA,0.7999999999999999,0.5729927007299269,0.9590999846244933,0.0,0.25,0.27938825258629163,0.5475564751575753
16,7,CaD-Ke,RF,6,letter,AA,0.7,0.5255474452554745,0.9036904578863016,0.0,0.5,0.05646500122894982,0.2855365406843245
16,7,CaD-Ke,RF,12,mfeat-factors,KM,0.7,0.3795620437956205,0.9300809618991231,0.0,0.25,0.6355361223644773,0.7075432316485585
16,7,CaD-Ke,RF,307,vowel,AA,0.09999999999999999,-0.24087591240875905,0.6939333435836711,0.0,0.5,0.1715354277479953,0.3794283266725329
16,7,CaD-Ke,RF,1487,ozone-level-8hr,AA,0.8999999999999998,0.9014598540145985,1.0,1.0,0.0,-0.002171346125017033,-0.0005566677044779878
16,7,CaD-Ke,RF,1501,semeion,KM,0.8720815992723809,0.7677001739647403,0.9434336918247567,1.0,0.125,0.3894098108171657,0.5355899542980275
16,7,CaD-Ke,RF,40499,texture,AA,0.7999999999999999,0.5729927007299269,0.9590999846244933,0.0,0.25,0.27938825258629163,0.5475564751575753
16,7,CaD-Ch,kNN,6,letter,AA,0.15389675281277312,-0.08383517440587372,0.7493428703218629,0.0,0.5,0.05646500122894982,0.2855365406843245
16,7,CaD-Ch,kNN,12,mfeat-factors,AA,0.6,0.19708029197080287,0.8891809465236166,0.0,0.5,0.5029325356069085,0.6813596710973622
16,7,CaD-Ch,kNN,307,vowel,AA,-0.19999999999999998,-0.437956204379562,0.6675428395708495,0.0,0.5,0.1715354277479953,0.3794283266725329
16,7,CaD-Ch,kNN,1487,ozone-level-8hr,AA,0.8207826816681233,0.8688140700427179,1.0,1.0,0.0,-0.002171346125017033,-0.0005566677044779878
16,7,CaD-Ch,kNN,1501,semeion,KM,0.8720815992723809,0.7677001739647403,0.9434336918247567,1.0,0.125,0.3894098108171657,0.5355899542980275
16,7,CaD-Ch,kNN,40499,texture,AA,0.6,0.45620437956204374,0.8482809311481098,0.0,0.25,0.27938825258629163,0.5475564751575753
16,7,CaD-Ch,RF,6,letter,AA,0.7,0.5255474452554745,0.9036904578863016,0.0,0.5,0.05646500122894982,0.2855365406843245
16,7,CaD-Ch,RF,12,mfeat-factors,KM,0.7,0.3795620437956205,0.9300809618991231,0.0,0.25,0.6355361223644773,0.7075432316485585
16,7,CaD-Ch,RF,307,vowel,AA,0.19999999999999998,0.0875912408759125,0.7493428703218629,0.0,0.5,0.1715354277479953,0.3794283266725329
16,7,CaD-Ch,RF,1487,ozone-level-8hr,AA,0.8999999999999998,0.9014598540145985,1.0,1.0,0.0,-0.002171346125017033,-0.0005566677044779878
16,7,CaD-Ch,RF,1501,semeion,KM,0.9746794344808963,0.9153348228041135,1.0,1.0,0.125,0.3894098108171657,0.5355899542980275
16,7,CaD-Ch,RF,40499,texture,AA,0.7999999999999999,0.5729927007299269,0.9590999846244933,0.0,0.25,0.27938825258629163,0.5475564751575753
16,8,MeanRank,Baseline,1063,kc2,AA,0.8720815992723809,0.8315841857951101,1.0,1.0,0.0,0.010984047608653732,0.007972830738550254
16,8,MeanRank,Baseline,1475,first-order-theorem-proving,AA,0.9999999999999999,1.0,1.0,1.0,0.0,-0.010213816714483709,0.010904568823280836
